year,province ,crop ,precipitation(mm),harvested area (acres),yield (tonnes/acres),production (tonnes),total farm gate value ($),,
1999,AB,potato,423.8,29500,14.5,613.4,104829,,
2000,AB,potato,396.5,29500,15.5,739.4,110571,,
2001,AB,potato,352.1,29500,15.8,902.5,153435,,
2002,AB,potato,235.2,29500,14.0,781.2,148638,,
2003,AB,potato,473.4,29500,16.5,1006.5,169375,,
2004,AB,potato,525.5,29500,17.5,997.5,168715,,
2005,AB,potato,287.2,29500,17.2,885.8,153213,,
2006,AB,potato,442.5,29500,17.1,914.9,157609,,
2007,AB,potato,272,29500,17.1,934.4,157157,,
2008,AB,potato,292.7,29500,16.8,873.6,191154,,
2009,AB,potato,243.5,29500,16.1,800.2,170177,,
2010,AB,potato,383,29500,15.7,706.5,147293,,
2011,AB,potato,391.4,29500,16.4,821.7,180745,,
2012,AB,potato,369.5,29500,17.1,934.8,195980,,
2013,AB,potato,483.5,29500,17.9,911.7,,,
2014,AB,potato,360,29500,18.1,934.5,,,
2015,AB,potato,289.3,29500,19.2,963.5,,,
2016,AB,potato,489.5,29500,19.2,976.0,,,
2017,AB,potato,376.3,29500,20.1,1028.6,,,
2018,AB,potato,368.6,29500,20.4,1088.1,,,
2019,AB,potato,463,29500,19.1,1085.9,,,
2020,AB,potato,498.7,29500,20.2,1170.4,,,
2021,AB,potato,270.6,29500,18.2,1230.7,,,
2022,AB,potato,397,29500,18.8,1340.7,,,
1995,BC,potato,1272.8,8800,15.3,134.2,38431,,
1996,BC,potato,1462.8,8700,12.0,104.4,24903,,
1997,BC,potato,1521.8,7000,11.3,78.8,21555,,
1998,BC,potato,1160.5,8000,12.0,96.0,32447,,
1999,BC,potato,1394.4,8200,13.0,106.6,37782,,
2000,BC,potato,1010.8,8300,13.0,107.9,35657,,
2001,BC,potato,1178.5,8600,14.0,120.4,46812,,
2002,BC,potato,857.6,8700,14.5,126.2,63455,,
2003,BC,potato,1106.1,8800,14.8,129.8,49197,,
2004,BC,potato,1210.6,8300,14.5,120.4,45787,,
2005,BC,potato,1215.2,8500,13.8,116.9,49979,,
2006,BC,potato,1224.2,8500,14.0,119.0,46310,,
2007,BC,potato,1322.4,8000,15.0,120.0,52645,,
2008,BC,potato,1025.8,7500,15.5,116.3,46340,,
2009,BC,potato,1090.6,7000,14.5,101.5,42820,,
2010,BC,potato,1207,3500,15.0,52.5,22282,,
2011,BC,potato,1068.5,6900,13.8,94.9,43272,,
2012,BC,potato,1211.3,7000,13.8,96.3,39013,,
2013,BC,potato,944,6100,14.0,85.4,,,
2014,BC,potato,1276.3,5800,13.5,78.2,,,
2015,BC,potato,1142.5,6070,13.7,83.2,,,
2016,BC,potato,1356.8,7000,15.8,110.3,,,
2017,BC,potato,1239.3,6400,14.3,91.2,,,
2018,BC,potato,1343.4,6600,15.9,105.0,,,
2019,BC,potato,965.7,6600,16.3,107.3,,,
2020,BC,potato,1140.4,6500,16.6,107.8,,,
2021,BC,potato,1160.3,6400,16.3,104.0,,,
2022,BC,potato,1046.3,5000,16.0,80.0,,,
1995,MB,potato,,60000,10.3,615.0,79100,,
1996,MB,potato,,68500,12.3,839.2,105162,,
1997,MB,potato,,71500,11.5,822.3,126168,,
1998,MB,potato,,72500,11.8,851.9,115035,,
1999,MB,potato,,73000,11.3,821.3,117748,,
2000,MB,potato,,74000,12.5,925.0,143643,,
2001,MB,potato,,74600,11.7,872.8,143463,,
2002,MB,potato,,84000,11.0,924.0,149157,,
2003,MB,potato,,101500,12.3,1243.4,163384,,
2004,MB,potato,,93000,12.3,1139.3,167980,,
2005,MB,potato,,76000,10.5,798.0,136629,,
2006,MB,potato,,79600,13.5,1074.6,187057,,
2007,MB,potato,,84500,14.0,1183.0,205484,,
2008,MB,potato,,81000,14.0,1134.0,236927,,
2009,MB,potato,,77500,14.0,1085.0,251318,,
2010,MB,potato,,68000,14.0,952.0,176288,,
2011,MB,potato,,70000,12.5,875.0,171390,,
2012,MB,potato,,75500,13.8,1038.2,205175,,
2013,MB,potato,,69500,15.5,1077.3,,,
2014,MB,potato,,62450,15.4,962.0,,,
2015,MB,potato,,67000,16.1,1081.5,,,
2016,MB,potato,,64000,17.5,1120.0,,,
2017,MB,potato,,62800,17.7,1110.0,,,
2018,MB,potato,,58800,17.3,1015.0,,,
2019,MB,potato,,57000,17.3,985.0,,,
2020,MB,potato,,71200,16.9,1200.0,,,
2021,MB,potato,,78000,16.0,1246.4,,,
2022,MB,potato,,79250,16.5,1307.0,,,
1995,NB,potato,,55000,11.0,605.0,77985,,
1996,NB,potato,,53000,13.5,715.5,67856,,
1997,NB,potato,,56000,13.0,728.0,86102,,
1998,NB,potato,,56700,13.3,751.3,103102,,
1999,NB,potato,,55000,12.5,687.5,94750,,
2000,NB,potato,,55000,12.8,701.3,91868,,
2001,NB,potato,,57400,12.5,717.5,152967,,
2002,NB,potato,,58000,13.0,754.0,118321,,
2003,NB,potato,,58500,12.8,745.9,91198,,
2004,NB,potato,,58000,14.3,826.5,83207,,
2005,NB,potato,,56500,13.0,734.5,127547,,
2006,NB,potato,,59000,15.0,885.0,100538,,
2007,NB,potato,,58500,14.5,848.3,110197,,
2008,NB,potato,,54500,13.0,708.5,144940,,
2009,NB,potato,,54500,13.5,735.8,129054,,
2010,NB,potato,,51300,14.8,756.7,146455,,
2011,NB,potato,,48500,12.3,594.2,117384,,
2012,NB,potato,,50250,14.4,721.9,152540,,
2013,NB,potato,,46800,14.6,682.4,,,
2014,NB,potato,,47600,15.0,715.4,,,
2015,NB,potato,,47450,15.9,755.0,,,
2016,NB,potato,,47000,15.3,716.8,,,
2017,NB,potato,,51600,14.7,758.0,,,
2018,NB,potato,,51000,15.4,783.5,,,
2019,NB,potato,,52800,15.5,820.0,,,
2020,NB,potato,,48450,11.9,575.0,,,
2021,NB,potato,,52000,17.5,910.0,,,
2022,NB,potato,,51600,16.5,850.0,,,
1995,NL,potato,,800,7.0,5.6,1754,,
1996,NL,potato,,800,6.8,5.4,1654,,
1997,NL,potato,,800,6.5,5.2,1312,,
1998,NL,potato,,700,6.7,4.7,1445,,
1999,NL,potato,,500,6.3,3.2,1140,,
2000,NL,potato,,600,7.5,4.5,1399,,
2001,NL,potato,,600,8.0,4.8,1395,,
2002,NL,potato,,700,8.2,5.8,1940,,
2003,NL,potato,,700,10.7,7.5,2280,,
2004,NL,potato,,600,9.5,5.7,1726,,
2005,NL,potato,,600,8.3,5.0,1842,,
2006,NL,potato,,700,11.5,8.1,3301,,
2007,NL,potato,,700,8.8,6.2,2498,,
2008,NL,potato,,700,8.0,5.6,2975,,
2009,NL,potato,,600,7.0,4.2,2248,,
2010,NL,potato,,500,8.8,4.4,1996,,
2011,NL,potato,,500,9.0,4.5,1981,,
2012,NL,potato,,500,8.8,4.4,1810,,
2013,NL,potato,,,0.0,0.0,,,
2014,NL,potato,,,0.0,0.0,,,
2015,NL,potato,,,0.0,0.0,,,
2016,NL,potato,,,0.0,0.0,,,
2017,NL,potato,,325,9.7,3.2,,,
2018,NL,potato,,300,9.4,2.8,,,
2019,NL,potato,,301,9.0,2.7,,,
2020,NL,potato,,325,8.5,2.8,,,
2021,NL,potato,,300,9.2,2.8,,,
2022,NL,potato,,350,7.5,2.6,,,
1995,NS,potato,,4700,10.5,49.4,7689,,
1996,NS,potato,,4700,10.3,48.2,7602,,
1997,NS,potato,,4600,9.5,43.7,6310,,
1998,NS,potato,,4800,10.3,49.2,7141,,
1999,NS,potato,,4800,10.5,50.4,8986,,
2000,NS,potato,,5200,12.0,62.4,11775,,
2001,NS,potato,,5200,7.5,39.0,7085,,
2002,NS,potato,,5500,11.0,60.5,11656,,
2003,NS,potato,,5200,10.8,55.9,9785,,
2004,NS,potato,,4800,11.8,56.4,9767,,
2005,NS,potato,,3300,10.8,35.5,6247,,
2006,NS,potato,,2600,10.5,27.3,5209,,
2007,NS,potato,,2500,11.3,28.2,5457,,
2008,NS,potato,,2200,13.0,28.6,6618,,
2009,NS,potato,,2200,13.3,29.2,6675,,
2010,NS,potato,,2000,11.8,23.5,5721,,
2011,NS,potato,,2000,11.5,23.0,5848,,
2012,NS,potato,,1900,11.0,20.9,4821,,
2013,NS,potato,,1900,11.9,22.5,,,
2014,NS,potato,,1725,14.1,24.4,,,
2015,NS,potato,,1200,13.8,16.5,,,
2016,NS,potato,,1600,13.5,21.6,,,
2017,NS,potato,,1600,13.5,21.6,,,
2018,NS,potato,,1400,13.0,18.3,,,
2019,NS,potato,,1600,13.0,20.8,,,
2020,NS,potato,,1200,12.5,15.0,,,
2021,NS,potato,,1150,15.5,17.9,,,
2022,NS,potato,,800,15.0,12.0,,,
1995,ON,potato,,38100,10.6,403.9,56144,,
1996,ON,potato,,37000,10.0,370.0,54365,,
1997,ON,potato,,38800,10.0,388.0,62871,,
1998,ON,potato,,43100,9.0,387.9,61013,,
1999,ON,potato,,41800,9.3,386.7,65182,,
2000,ON,potato,,39800,9.5,378.1,61957,,
2001,ON,potato,,42800,9.3,395.9,89842,,
2002,ON,potato,,41700,8.4,348.2,91778,,
2003,ON,potato,,43900,10.3,450.0,88194,,
2004,ON,potato,,39000,10.1,393.9,65838,,
2005,ON,potato,,35500,8.7,308.9,74003,,
2006,ON,potato,,36000,10.5,376.2,86221,,
2007,ON,potato,,36000,7.2,257.4,66573,,
2008,ON,potato,,35200,11.0,387.2,117112,,
2009,ON,potato,,36400,10.8,391.3,99719,,
2010,ON,potato,,38000,10.8,408.5,109604,,
2011,ON,potato,,36500,8.8,319.4,91704,,
2012,ON,potato,,39500,9.5,375.3,101978,,
2013,ON,potato,,37500,11.3,421.9,,,
2014,ON,potato,,35000,11.8,411.3,,,
2015,ON,potato,,34650,11.5,398.5,,,
2016,ON,potato,,34750,9.5,330.2,,,
2017,ON,potato,,34800,11.3,391.5,,,
2018,ON,potato,,33750,10.3,346.0,,,
2019,ON,potato,,33527,10.0,335.3,,,
2020,ON,potato,,35800,10.5,375.9,,,
2021,ON,potato,,37302,12.0,447.7,,,
2022,ON,potato,,37100,11.0,408.0,,,
1995,PE,potato,,108000,13.3,1431.0,168787,,
1996,PE,potato,,109000,13.0,1417.0,138956,,
1997,PE,potato,,112000,13.3,1484.0,187290,,
1998,PE,potato,,110000,13.3,1457.5,218355,,
1999,PE,potato,,110000,13.0,1430.0,195617,,
2000,PE,potato,,108000,13.5,1458.0,139947,,
2001,PE,potato,,107000,8.6,920.2,192511,,
2002,PE,potato,,107500,14.0,1505.0,229825,,
2003,PE,potato,,105500,13.3,1397.9,162248,,
2004,PE,potato,,105500,13.8,1450.7,165411,,
2005,PE,potato,,96000,13.8,1320.0,234915,,
2006,PE,potato,,95800,15.5,1484.9,201812,,
2007,PE,potato,,96000,14.3,1368.0,221978,,
2008,PE,potato,,89000,14.0,1246.0,249212,,
2009,PE,potato,,82000,15.0,1230.0,227673,,
2010,PE,potato,,86000,15.0,1290.0,277361,,
2011,PE,potato,,86000,14.3,1225.5,284983,,
2012,PE,potato,,83700,14.5,1214.2,257470,,
2013,PE,potato,,82900,15.1,1250.5,,,
2014,PE,potato,,84700,14.9,1262.0,,,
2015,PE,potato,,85300,14.6,1242.5,,,
2016,PE,potato,,86700,14.8,1286.2,,,
2017,PE,potato,,83200,14.7,1223.2,,,
2018,PE,potato,,79200,14.3,1130.0,,,
2019,PE,potato,,84000,14.5,1215.1,,,
2020,PE,potato,,83500,12.6,1050.0,,,
2021,PE,potato,,84500,16.1,1360.5,,,
2022,PE,potato,,81900,16.2,1330.0,,,
1995,QC,potato,,45200,10.5,472.9,73852,,
1996,QC,potato,,45200,11.3,512.6,68846,,
1997,QC,potato,,46200,10.9,501.5,73918,,
1998,QC,potato,,45200,11.6,523.6,83750,,
1999,QC,potato,,43500,11.7,507.1,86075,,
2000,QC,potato,,44700,11.7,523.0,86317,,
2001,QC,potato,,46000,11.5,528.5,120938,,
2002,QC,potato,,47900,10.5,503.6,104361,,
2003,QC,potato,,48900,11.9,581.3,86849,,
2004,QC,potato,,46200,13.3,613.3,88349,,
2005,QC,potato,,47400,11.4,538.7,120592,,
2006,QC,potato,,45000,13.0,583.1,103468,,
2007,QC,potato,,44700,14.3,637.4,106697,,
2008,QC,potato,,41800,13.1,547.6,152737,,
2009,QC,potato,,41800,13.2,549.9,116681,,
2010,QC,potato,,42700,13.5,574.3,155622,,
2011,QC,potato,,41300,13.6,562.5,148154,,
2012,QC,potato,,41514,13.3,550.1,130636,,
2013,QC,potato,,42255,13.6,573.9,,,
2014,QC,potato,,41019,13.8,567.5,,,
2015,QC,potato,,41019,15.1,618.0,,,
2016,QC,potato,,41514,14.7,611.7,,,
2017,QC,potato,,41761,15.0,625.3,,,
2018,QC,potato,,40167,14.0,561.1,,,
2019,QC,potato,,43167,14.7,632.4,,,
2020,QC,potato,,44588,14.3,636.6,,,
2021,QC,potato,,45776,15.4,705.0,,,
2022,QC,potato,,48326,15.4,745.8,,,
1995,SK,potato,375.5,6100,11.5,70.2,19091,,
1996,SK,potato,446.4,6500,11.5,74.8,18618,,
1997,SK,potato,312.9,8500,12.3,104.2,28353,,
1998,SK,potato,280,13200,13.3,174.9,38242,,
1999,SK,potato,401.4,7900,12.5,98.8,29431,,
2000,SK,potato,344.6,10200,13.3,135.2,38460,,
2001,SK,potato,159.7,12300,12.3,150.7,52195,,
2002,SK,potato,299.3,12500,14.3,178.2,58899,,
2003,SK,potato,233.8,13000,15.8,204.8,60255,,
2004,SK,potato,402.6,12000,14.0,168.0,34725,,
2005,SK,potato,523,10900,13.3,144.5,36787,,
2006,SK,potato,488.8,10300,13.5,139.1,34476,,
2007,SK,potato,366,9500,12.3,116.4,35736,,
2008,SK,potato,327.1,9500,13.8,130.7,48919,,
2009,SK,potato,298.5,8000,14.5,116.0,44551,,
2010,SK,potato,642.5,7000,12.8,89.3,37531,,
2011,SK,potato,285.4,7000,14.0,98.0,41334,,
2012,SK,potato,510.2,6500,12.5,81.3,30596,,
2013,SK,potato,279.6,6500,13.8,89.4,,,
2014,SK,potato,364.9,6550,12.3,80.3,,,
2015,SK,potato,292.4,6700,12.5,83.8,,,
2016,SK,potato,345.1,6800,12.5,85.0,,,
2017,SK,potato,234.3,6500,12.5,81.3,,,
2018,SK,potato,207.7,5900,12.3,72.7,,,
2019,SK,potato,266.4,6000,12.5,75.0,,,
2020,SK,potato,297.4,6000,11.7,70.0,,,
2021,SK,potato,180.7,6200,12.3,76.0,,,
2022,SK,potato,208.7,5800,12.5,72.5,,,
1995,AB,soybean,350.1,,,,,,
1996,AB,soybean,482.1,,,,,,
1997,AB,soybean,491.3,,,,,,
1998,AB,soybean,489.1,,,,,,
1999,AB,soybean,423.8,,,,,,
2000,AB,soybean,396.5,,,,,,
2001,AB,soybean,352.1,,,,,,
2002,AB,soybean,235.2,,,,,,
2003,AB,soybean,473.4,,,,,,
2004,AB,soybean,525.5,,,,,,
2005,AB,soybean,287.2,,,,,,
2006,AB,soybean,442.5,,,,,,
2007,AB,soybean,272,,,,,,
2008,AB,soybean,292.7,,,,,,
2009,AB,soybean,243.5,,,,,,
2010,AB,soybean,383,,,,,,
2011,AB,soybean,391.4,,,,,,
2012,AB,soybean,369.5,,,,,,
2013,AB,soybean,483.5,,,,,,
2014,AB,soybean,360,,,,,,
2015,AB,soybean,289.3,,,,,,
2016,AB,soybean,489.5,,,,,,
2017,AB,soybean,376.3,,,,,,
2018,AB,soybean,368.6,,,,,,
2019,AB,soybean,463,,,,,,
2020,AB,soybean,498.7,,,,,,
2021,AB,soybean,270.6,,,,,,
2022,AB,soybean,397,,,,,,
1995,BC,soybean,1272.8,,,,,,
1996,BC,soybean,1462.8,,,,,,
1997,BC,soybean,1521.8,,,,,,
1998,BC,soybean,1160.5,,,,,,
1999,BC,soybean,1394.4,,,,,,
2000,BC,soybean,1010.8,,,,,,
2001,BC,soybean,1178.5,,,,,,
2002,BC,soybean,857.6,,,,,,
2003,BC,soybean,1106.1,,,,,,
2004,BC,soybean,1210.6,,,,,,
2005,BC,soybean,1215.2,,,,,,
2006,BC,soybean,1224.2,,,,,,
2007,BC,soybean,1322.4,,,,,,
2008,BC,soybean,1025.8,,,,,,
2009,BC,soybean,1090.6,,,,,,
2010,BC,soybean,1207,,,,,,
2011,BC,soybean,1068.5,,,,,,
2012,BC,soybean,1211.3,,,,,,
2013,BC,soybean,944,,,,,,
2014,BC,soybean,1276.3,,,,,,
2015,BC,soybean,1142.5,,,,,,
2016,BC,soybean,1356.8,,,,,,
2017,BC,soybean,1239.3,,,,,,
2018,BC,soybean,1343.4,,,,,,
2019,BC,soybean,965.7,,,,,,
2020,BC,soybean,1140.4,,,,,,
2021,BC,soybean,1160.3,,,,,,
2022,BC,soybean,1046.3,,,,,,
1995,MB,soybean,,,,,,,
1996,MB,soybean,,,,,,,
1997,MB,soybean,,,,,,,
1998,MB,soybean,,,,,,,
1999,MB,soybean,,,,,,,
2000,MB,soybean,,,,,,,
2001,MB,soybean,,50000,0.73,,,,
2002,MB,soybean,,130000,0.85,,,,
2003,MB,soybean,,220000,0.69,,,,
2004,MB,soybean,,100000,0.41,,,,
2005,MB,soybean,,95000,0.61,,,,
2006,MB,soybean,,350000,0.73,,,,
2007,MB,soybean,,215000,0.93,,,,
2008,MB,soybean,,275000,0.89,,,,
2009,MB,soybean,,400000,0.81,,,,
2010,MB,soybean,,510000,0.85,,,,
2011,MB,soybean,,570000,0.73,,,,
2012,MB,soybean,,825000,0.93,,,,
2013,MB,soybean,,1045000,1.01,,,,
2014,MB,soybean,,1290000,0.85,,,,
2015,MB,soybean,,1405000,0.97,,,,
2016,MB,soybean,,1585000,1.13,,,,
2017,MB,soybean,,2285000,0.97,,,,
2018,MB,soybean,,1870400,0.93,,,,
2019,MB,soybean,,1412200,0.80,,,,
2020,MB,soybean,,1145700,1.02,,,,
2021,MB,soybean,,1307600,0.74,,,,
2022,MB,soybean,,1127200,1.17,,,,
1995,NB,soybean,,,,,,,
1996,NB,soybean,,,,,,,
1997,NB,soybean,,,,,,,
1998,NB,soybean,,,,,,,
1999,NB,soybean,,,,,,,
2000,NB,soybean,,,,,,,
2001,NB,soybean,,,,,,,
2002,NB,soybean,,,,,,,
2003,NB,soybean,,,,,,,
2004,NB,soybean,,,,,,,
2005,NB,soybean,,,,,,,
2006,NB,soybean,,,,,,,
2007,NB,soybean,,,,,,,
2008,NB,soybean,,,,,,,
2009,NB,soybean,,,,,,,
2010,NB,soybean,,9500,2400,,,,
2011,NB,soybean,,10000,2100,,,,
2012,NB,soybean,,10000,2300,,,,
2013,NB,soybean,,16000,2000,,,,
2014,NB,soybean,,12500,2300,,,,
2015,NB,soybean,,11000,2400,,,,
2016,NB,soybean,,13000,2400,,,,
2017,NB,soybean,,21000,1900,,,,
2018,NB,soybean,,13100,2804,,,,
2019,NB,soybean,,11000,2145,,,,
2020,NB,soybean,,7300,1816,,,,
2021,NB,soybean,,9900,2814,,,,
2022,NB,soybean,,,,,,,
1995,NL,soybean,,,,,,,
1996,NL,soybean,,,,,,,
1997,NL,soybean,,,,,,,
1998,NL,soybean,,,,,,,
1999,NL,soybean,,,,,,,
2000,NL,soybean,,,,,,,
2001,NL,soybean,,,,,,,
2002,NL,soybean,,,,,,,
2003,NL,soybean,,,,,,,
2004,NL,soybean,,,,,,,
2005,NL,soybean,,,,,,,
2006,NL,soybean,,,,,,,
2007,NL,soybean,,,,,,,
2008,NL,soybean,,,,,,,
2009,NL,soybean,,,,,,,
2010,NL,soybean,,5500,,,,,
2011,NL,soybean,,8500,,,,,
2012,NL,soybean,,9500,,,,,
2013,NL,soybean,,10000,,,,,
2014,NL,soybean,,12000,,,,,
2015,NL,soybean,,11000,,,,,
2016,NL,soybean,,11000,,,,,
2017,NL,soybean,,12500,,,,,
2018,NL,soybean,,13400,,,,,
2019,NL,soybean,,9600,,,,,
2020,NL,soybean,,9800,,,,,
2021,NL,soybean,,11400,,,,,
2022,NL,soybean,,13600,,,,,
1995,NS,soybean,,,,,,,
1996,NS,soybean,,,,,,,
1997,NS,soybean,,,,,,,
1998,NS,soybean,,,,,,,
1999,NS,soybean,,,,,,,
2000,NS,soybean,,,,,,,
2001,NS,soybean,,,,,,,
2002,NS,soybean,,,,,,,
2003,NS,soybean,,,,,,,
2004,NS,soybean,,,,,,,
2005,NS,soybean,,,,,,,
2006,NS,soybean,,,,,,,
2007,NS,soybean,,,,,,,
2008,NS,soybean,,,,,,,
2009,NS,soybean,,,,,,,
2010,NS,soybean,,5500,3000,,,,
2011,NS,soybean,,8500,2700,,,,
2012,NS,soybean,,9500,2800,,,,
2013,NS,soybean,,10000,3000,,,,
2014,NS,soybean,,12000,3000,,,,
2015,NS,soybean,,11000,2800,,,,
2016,NS,soybean,,11000,2800,,,,
2017,NS,soybean,,12500,3000,,,,
2018,NS,soybean,,13400,3416,,,,
2019,NS,soybean,,9600,2743,,,,
2020,NS,soybean,,9800,2831,,,,
2021,NS,soybean,,11400,3603,,,,
2022,NS,soybean,,13600,3111,,,,
1995,ON,soybean,,1815000,1.13,,,,
1996,ON,soybean,,1890000,1.01,,,,
1997,ON,soybean,,2315000,1.05,,,,
1998,ON,soybean,,2100000,1.13,,,,
1999,ON,soybean,,2125000,1.09,,,,
2000,ON,soybean,,2235000,1.05,,,,
2001,ON,soybean,,2225000,0.57,,,,
2002,ON,soybean,,2065000,0.93,,,,
2003,ON,soybean,,1990000,0.85,,,,
2004,ON,soybean,,2300000,1.09,,,,
2005,ON,soybean,,2315000,1.13,,,,
2006,ON,soybean,,2130000,1.26,,,,
2007,ON,soybean,,2225000,0.89,,,,
2008,ON,soybean,,2095000,1.17,,,,
2009,ON,soybean,,2465000,1.09,,,,
2010,ON,soybean,,2495000,1.26,,,,
2011,ON,soybean,,2463000,1.30,,,,
2012,ON,soybean,,2587000,1.30,,,,
2013,ON,soybean,,2595000,1.26,,,,
2014,ON,soybean,,3060000,1.26,,,,
2015,ON,soybean,,2930000,1.26,,,,
2016,ON,soybean,,2770000,1.26,,,,
2017,ON,soybean,,3060000,1.26,,,,
2018,ON,soybean,,3005000,1.40,,,,
2019,ON,soybean,,3089600,1.20,,,,
2020,ON,soybean,,2833300,1.38,,,,
2021,ON,soybean,,2904900,1.41,,,,
2022,ON,soybean,,3057100,1.31,,,,
1995,PE,soybean,,9000,0.73,,,,
1996,PE,soybean,,5600,0.77,,,,
1997,PE,soybean,,7000,0.81,,,,
1998,PE,soybean,,7000,0.89,,,,
1999,PE,soybean,,5000,1.09,,,,
2000,PE,soybean,,5400,0.85,,,,
2001,PE,soybean,,7000,0.65,,,,
2002,PE,soybean,,7500,0.89,,,,
2003,PE,soybean,,5800,0.93,,,,
2004,PE,soybean,,8000,0.81,,,,
2005,PE,soybean,,10000,0.93,,,,
2006,PE,soybean,,11300,0.97,,,,
2007,PE,soybean,,11000,1.01,,,,
2008,PE,soybean,,18000,0.93,,,,
2009,PE,soybean,,35000,1.01,,,,
2010,PE,soybean,,44000,0.93,,,,
2011,PE,soybean,,50500,0.89,,,,
2012,PE,soybean,,51000,1.01,,,,
2013,PE,soybean,,57000,1.01,,,,
2014,PE,soybean,,62000,0.93,,,,
2015,PE,soybean,,49500,0.93,,,,
2016,PE,soybean,,44000,0.93,,,,
2017,PE,soybean,,50000,0.97,,,,
2018,PE,soybean,,38700,1.12,,,,
2019,PE,soybean,,39200,0.93,,,,
2020,PE,soybean,,38100,1.03,,,,
2021,PE,soybean,,36100,1.24,,,,
2022,PE,soybean,,30500,1.18,,,,
1995,QC,soybean,,212500,1.17,,,,
1996,QC,soybean,,234800,1.09,,,,
1997,QC,soybean,,296500,1.13,,,,
1998,QC,soybean,,315100,1.26,,,,
1999,QC,soybean,,350900,1.26,,,,
2000,QC,soybean,,380500,1.01,,,,
2001,QC,soybean,,359500,0.89,,,,
2002,QC,soybean,,327400,0.97,,,,
2003,QC,soybean,,375600,1.05,,,,
2004,QC,soybean,,491700,1.05,,,,
2005,QC,soybean,,459600,1.09,,,,
2006,QC,soybean,,476900,1.13,,,,
2007,QC,soybean,,433700,1.09,,,,
2008,QC,soybean,,565900,1.05,,,,
2009,QC,soybean,,588100,0.89,,,,
2010,QC,soybean,,657300,1.26,,,,
2011,QC,soybean,,738800,1.09,,,,
2012,QC,soybean,,706000,1.22,,,,
2013,QC,soybean,,725700,1.17,,,,
2014,QC,soybean,,880000,1.01,,,,
2015,QC,soybean,,845000,1.30,,,,
2016,QC,soybean,,861700,1.30,,,,
2017,QC,soybean,,978500,1.13,,,,
2018,QC,soybean,,912700,1.28,,,,
2019,QC,soybean,,903100,1.27,,,,
2020,QC,soybean,,881000,1.32,,,,
2021,QC,soybean,,916800,1.20,,,,
2022,QC,soybean,,946300,1.19,,,,
1995,SK,soybean,375.5,,,,,,
1996,SK,soybean,446.4,,,,,,
1997,SK,soybean,312.9,,,,,,
1998,SK,soybean,280,,,,,,
1999,SK,soybean,401.4,,,,,,
2000,SK,soybean,344.6,,,,,,
2001,SK,soybean,159.7,,,,,,
2002,SK,soybean,299.3,,,,,,
2003,SK,soybean,233.8,,,,,,
2004,SK,soybean,402.6,,,,,,
2005,SK,soybean,523,,,,,,
2006,SK,soybean,488.8,,,,,,
2007,SK,soybean,366,,,,,,
2008,SK,soybean,327.1,,,,,,
2009,SK,soybean,298.5,,,,,,
2010,SK,soybean,642.5,,,,,,
2011,SK,soybean,285.4,,,,,,
2012,SK,soybean,510.2,,,,,,
2013,SK,soybean,279.6,160000,0.73,,,,
2014,SK,soybean,364.9,260000,0.65,,,,
2015,SK,soybean,292.4,265000,0.69,,,,
2016,SK,soybean,345.1,230000,0.89,,,,
2017,SK,soybean,234.3,845000,0.57,,,,
2018,SK,soybean,207.7,404600,0.57,,,,
2019,SK,soybean,266.4,139200,0.77,,,,
2020,SK,soybean,297.4,126300,0.54,,,,
2021,SK,soybean,180.7,85000,0.60,,,,
2022,SK,soybean,208.7,45400,0.81,,,,
1995,AB,oat,350.1,750000,1.01,771100,,,
1996,AB,oat,482.1,1050000,1.01,1079500,,,
1997,AB,oat,491.3,1000000,0.97,979300,,,
1998,AB,oat,489.1,800000,0.97,771100,,,
1999,AB,oat,423.8,800000,1.09,863600,,,
2000,AB,oat,396.5,600000,1.09,657000,,,
2001,AB,oat,352.1,600000,0.97,592200,,,
2002,AB,oat,235.2,450000,0.81,370100,,,
2003,AB,oat,473.4,820000,1.01,826600,,,
2004,AB,oat,525.5,700000,1.17,828200,,,
2005,AB,oat,287.2,675000,1.22,829700,,,
2006,AB,oat,442.5,705000,1.01,706300,,,
2007,AB,oat,272,620000,1.01,627400,,,
2008,AB,oat,292.7,500000,1.09,541300,,,
2009,AB,oat,243.5,300000,1.01,308400,,,
2010,AB,oat,383,530000,1.22,647700,,,
2011,AB,oat,391.4,585000,1.26,738700,,,
2012,AB,oat,369.5,432000,1.22,518200,,,
2013,AB,oat,483.5,410000,1.46,601500,,,
2014,AB,oat,360,455000,1.17,542900,,,
2015,AB,oat,289.3,360000,1.09,393300,,,
2016,AB,oat,489.5,430000,1.46,624600,,,
2017,AB,oat,376.3,425000,1.42,609200,,,
2018,AB,oat,368.6,512000,1.37,700100,,,
2019,AB,oat,463,578300,1.44,834800,,,
2020,AB,oat,498.7,605500,1.33,802000,,,
2021,AB,oat,270.6,525700,0.91,475538,,,
2022,AB,oat,397,752600,1.40,1054681,,,
1995,BC,oat,1272.8,50000,1.13,56300,,,
1996,BC,oat,1462.8,35000,0.89,31600,,,
1997,BC,oat,1521.8,30000,1.13,33500,,,
1998,BC,oat,1160.5,65000,1.01,66300,,,
1999,BC,oat,1394.4,65000,1.01,64800,,,
2000,BC,oat,1010.8,55000,0.93,50600,,,
2001,BC,oat,1178.5,40000,1.05,41500,,,
2002,BC,oat,857.6,65000,0.85,55500,,,
