year,province,crop,precipitation(mm),harvested area (acres),yield (tonnes/acres),production (tonnes),farm gate value ($)
1995,SK,wheat,375.5,15905000,0.81,12663500,182027210
1996,SK,wheat,446.4,17950000,0.93,16547000,217213946
1997,SK,wheat,312.9,17025000,0.77,13070300,190448244
1998,SK,wheat,280,15505000,0.81,12600700,164583461
1999,SK,wheat,401.4,14380000,0.97,13839500,206198119
2000,SK,wheat,344.6,15025000,0.89,13411800,184860791
2001,SK,wheat,159.7,14945000,0.65,9850800,146769496
2002,SK,wheat,299.3,12630000,0.61,7484300,117896489
2003,SK,wheat,233.8,14465000,0.69,10174500,173630041
2004,SK,wheat,402.6,12965000,0.89,11561700,194089451
2005,SK,wheat,523,12880000,1.01,12972200,237465538
2006,SK,wheat,488.8,12830000,0.85,11103900,180015930
2007,SK,wheat,366,11718000,0.77,9094800,158786374
2008,SK,wheat,327.1,13025000,0.93,12342300,220090755
2009,SK,wheat,298.5,12765000,1.01,12993500,236552320
2010,SK,wheat,642.5,9955000,0.97,9566300,177728826
2011,SK,wheat,285.4,10965000,1.05,11525800,218435133
2012,SK,wheat,510.2,12800000,1.01,12727300,245955638
2013,SK,wheat,279.6,13905000,1.34,18298300,366153839
2014,SK,wheat,364.9,12835000,1.09,14158100,295096098
2015,SK,wheat,292.4,12695000,1.01,13044500,278894129
2016,SK,wheat,345.1,11290000,1.3,14548600,324502876
2017,SK,wheat,234.3,11223000,0.94,13185400,299017874
2018,SK,wheat,207.7,12790600,1.16,14877100,342934347
2019,SK,wheat,266.4,12519200,1.23,15360800,366621924
2020,SK,wheat,297.4,12788800,1.27,16238400,400821974
2021,SK,wheat,180.7,11550200,0.77,8833900,225262719
2022,SK,wheat,208.7,13113300,1.13,14766371,388592118
1995,AB,potato,350.1,29500,0.3,8782,74346000
1996,AB,potato,482.1,29500,0.28,8308,57875000
1997,AB,potato,491.3,29500,0.3,8845,67932000
1998,AB,potato,489.1,29500,0.32,9499,75696000
1999,AB,potato,423.8,29500,0.42,12267,104829000
2000,AB,potato,396.5,29500,0.5,14787,110571000
2001,AB,potato,352.1,29500,0.61,18050,153435000
2002,AB,potato,235.2,29500,0.53,15624,148638000
2003,AB,potato,473.4,29500,0.68,20130,169375000
2004,AB,potato,525.5,29500,0.68,19950,168715000
2005,AB,potato,287.2,29500,0.6,17716,153213000
2006,AB,potato,442.5,29500,0.62,18297,157609000
2007,AB,potato,272,29500,0.63,18687,157157000
2008,AB,potato,292.7,29500,0.59,17472,191154000
2009,AB,potato,243.5,29500,0.54,16003,170177000
2010,AB,potato,383,29500,0.48,14130,147293000
2011,AB,potato,391.4,29500,0.56,16433,180745000
2012,AB,potato,369.5,29500,0.63,18695,195980000
2013,AB,potato,483.5,29500,0.62,18234,163194000
2014,AB,potato,360,29500,0.63,18690,190638000
2015,AB,potato,289.3,29500,0.65,19270,188846000
2016,AB,potato,489.5,29500,0.66,19519,181527000
2017,AB,potato,376.3,29500,0.7,20572,
2018,AB,potato,368.6,29500,0.74,21762,
2019,AB,potato,463,29500,0.74,21718,
2020,AB,potato,498.7,29500,0.79,23407,196619000
2021,AB,potato,270.6,29500,0.83,24614,246140000
2022,AB,potato,397,29500,0.91,26813,250702000
1995,BC,potato,1272.8,8800,0.31,2684,38431000
1996,BC,potato,1462.8,8700,0.24,2088,24903000
1997,BC,potato,1521.8,7000,0.23,1575,21555000
1998,BC,potato,1160.5,8000,0.24,1920,32447000
1999,BC,potato,1394.4,8200,0.26,2132,37782000
2000,BC,potato,1010.8,8300,0.26,2158,35657000
2001,BC,potato,1178.5,8600,0.28,2408,46812000
2002,BC,potato,857.6,8700,0.29,2523,63455000
2003,BC,potato,1106.1,8800,0.3,2596,49197000
2004,BC,potato,1210.6,8300,0.29,2407,45787000
2005,BC,potato,1215.2,8500,0.28,2338,49979000
2006,BC,potato,1224.2,8500,0.28,2380,46310000
2007,BC,potato,1322.4,8000,0.3,2400,52645000
2008,BC,potato,1025.8,7500,0.31,2325,46340000
2009,BC,potato,1090.6,7000,0.29,2030,42820000
2010,BC,potato,1207,3500,0.3,1050,22282000
2011,BC,potato,1068.5,6900,0.28,1898,43272000
2012,BC,potato,1211.3,7000,0.28,1925,39013000
2013,BC,potato,944,6100,0.28,1708,32452000
2014,BC,potato,1276.3,5800,0.27,1563,29665740
2015,BC,potato,1142.5,6070,0.27,1663,31563740
2016,BC,potato,1356.8,7000,0.32,2205,39249000
2017,BC,potato,1239.3,6400,0.29,1824,33744000
2018,BC,potato,1343.4,6600,0.32,2100,42420000
2019,BC,potato,965.7,6600,0.33,2145,45045000
2020,BC,potato,1140.4,6500,0.33,2155,39652000
2021,BC,potato,1160.3,6400,0.33,2080,
2022,BC,potato,1046.3,5000,0.32,1600,34560000
1995,MB,potato,444.7,60000,0.21,12300,79100000
1996,MB,potato,685.5,68500,0.25,16783,105162000
1997,MB,potato,500.1,71500,0.23,16445,126168000
1998,MB,potato,479.9,72500,0.24,17038,115035000
1999,MB,potato,497.7,73000,0.23,16425,117748000
2000,MB,potato,673.1,74000,0.25,18500,143643000
2001,MB,potato,528.9,74600,0.23,17456,143463000
2002,MB,potato,406.6,84000,0.22,18480,149157000
2003,MB,potato,391,101500,0.25,24868,163384000
2004,MB,potato,683.9,93000,0.25,22785,167980000
2005,MB,potato,584,76000,0.21,15960,136629000
2006,MB,potato,266.9,79600,0.27,21492,187057000
2007,MB,potato,452.6,84500,0.28,23660,205484000
2008,MB,potato,535.9,81000,0.28,22680,236927000
2009,MB,potato,456.2,77500,0.28,21700,251318000
2010,MB,potato,749.8,68000,0.28,19040,176288000
2011,MB,potato,541,70000,0.25,17500,171390000
2012,MB,potato,411.4,75500,0.28,20763,205175000
2013,MB,potato,376.7,69500,0.31,21545,176669000
2014,MB,potato,451.6,62450,0.31,19240,173160000
2015,MB,potato,475.1,67000,0.32,21630,209811000
2016,MB,potato,551.8,64000,0.35,22400,228480000
2017,MB,potato,327.5,62800,0.35,22200,176556600
2018,MB,potato,354.6,58800,0.35,20300,227360000
2019,MB,potato,457.1,57000,0.35,19700,167450000
2020,MB,potato,272.7,71200,0.34,24000,194400000
2021,MB,potato,384.2,78000,0.32,24927,249270000
2022,MB,potato,766.4,79250,0.33,26139,275583477
1995,NB,potato,1117.2,55000,0.22,12100,77985000
1996,NB,potato,1035.8,53000,0.27,14310,67856000
1997,NB,potato,844.8,56000,0.26,14560,86102000
1998,NB,potato,1036.9,56700,0.27,15026,103102000
1999,NB,potato,1103,55000,0.25,13750,94750000
2000,NB,potato,1122,55000,0.26,14025,91868000
2001,NB,potato,690.3,57400,0.25,14350,152967000
2002,NB,potato,1165.1,58000,0.26,15080,118321000
2003,NB,potato,1051.2,58500,0.26,14918,91198000
2004,NB,potato,752,58000,0.29,16530,83207000
2005,NB,potato,1190.1,56500,0.26,14690,127547000
2006,NB,potato,1029.8,59000,0.3,17700,100538000
2007,NB,potato,907.4,58500,0.29,16965,110197000
2008,NB,potato,1159.9,54500,0.26,14170,144940000
2009,NB,potato,1167.8,54500,0.27,14715,129054000
2010,NB,potato,1154.5,51300,0.3,15134,146455000
2011,NB,potato,1072.7,48500,0.25,11883,117384000
2012,NB,potato,979.1,50250,0.29,14438,152540000
2013,NB,potato,1068.7,46800,0.29,13647,103717000
2014,NB,potato,1244.7,47600,0.3,14307,114456000
2015,NB,potato,920.8,47450,0.32,15100,125330000
2016,NB,potato,876.4,47000,0.31,14335,98912000
2017,NB,potato,876.3,51600,0.29,15159,107629000
2018,NB,potato,1149.8,51000,0.31,15670,156700000
2019,NB,potato,1120.1,52800,0.31,16400,172200000
2020,NB,potato,798.2,48450,0.24,11500,113850000
2021,NB,potato,907.6,52000,0.35,18200,172900000
2022,NB,potato,1188.5,51600,0.33,17000,187000000
1995,NL,potato,,800,0.14,112,1754000
1996,NL,potato,,800,0.14,108,1654000
1997,NL,potato,,800,0.13,104,1312000
1998,NL,potato,,700,0.13,94,1445000
1999,NL,potato,,500,0.13,63,1140000
2000,NL,potato,,600,0.15,90,1399000
2001,NL,potato,,600,0.16,96,1395000
2002,NL,potato,,700,0.16,115,1940000
2003,NL,potato,,700,0.21,150,2280000
2004,NL,potato,,600,0.19,114,1726000
2005,NL,potato,,600,0.17,100,1842000
2006,NL,potato,,700,0.23,161,3301000
2007,NL,potato,,700,0.18,123,2498000
2008,NL,potato,,700,0.16,112,2975000
2009,NL,potato,,600,0.14,84,2248000
2010,NL,potato,,500,0.18,88,1996000
2011,NL,potato,,500,0.18,90,1981000
2012,NL,potato,,500,0.18,88,1810000
2013,NL,potato,,,,,
2014,NL,potato,,,,,
2015,NL,potato,,,,,
2016,NL,potato,,,,,
2017,NL,potato,,325,0.19,63,
2018,NL,potato,,300,0.19,56,
2019,NL,potato,,301,0.18,54,
2020,NL,potato,,325,0.17,55,
2021,NL,potato,,300,0.18,55,
2022,NL,potato,,350,0.15,52,
1995,NS,potato,1479.1,4700,0.21,987,7689000
1996,NS,potato,1718.6,4700,0.21,964,7602000
1997,NS,potato,1120.8,4600,0.19,874,6310000
1998,NS,potato,1465,4800,0.21,984,7141000
1999,NS,potato,1342.2,4800,0.21,1008,8986000
2000,NS,potato,1290.5,5200,0.24,1248,11775000
2001,NS,potato,965.1,5200,0.15,780,7085000
2002,NS,potato,1614.9,5500,0.22,1210,11656000
2003,NS,potato,1356.4,5200,0.22,1118,9785000
2004,NS,potato,1285.5,4800,0.24,1128,9767000
2005,NS,potato,1365.2,3300,0.22,710,6247000
2006,NS,potato,1245,2600,0.21,546,5209000
2007,NS,potato,1322.1,2500,0.23,563,5457000
2008,NS,potato,1448.6,2200,0.26,572,6618000
2009,NS,potato,1514.5,2200,0.27,583,6675000
2010,NS,potato,1213.9,2000,0.24,470,5721000
2011,NS,potato,1688.9,2000,0.23,460,5848000
2012,NS,potato,1390.3,1900,0.22,418,4821000
2013,NS,potato,1501.5,1900,0.24,450,
2014,NS,potato,1591.9,1725,0.28,487,
2015,NS,potato,1540.8,1200,0.28,330,
2016,NS,potato,1219.5,1600,0.27,432,
2017,NS,potato,1156,1600,0.27,432,4187000
2018,NS,potato,1370.6,1400,0.26,365,4223000
2019,NS,potato,1459.6,1600,0.26,416,4763000
2020,NS,potato,1147.8,1200,0.25,300,3652000
2021,NS,potato,1288,1150,0.31,357,4539000
2022,NS,potato,1444.4,800,0.3,240,2768000
1995,ON,potato,928.1,38100,0.21,8077,56144000
1996,ON,potato,699.8,37000,0.2,7400,54365000
1997,ON,potato,628.6,38800,0.2,7760,62871000
1998,ON,potato,682.1,43100,0.18,7758,61013000
1999,ON,potato,661.8,41800,0.19,7733,65182000
2000,ON,potato,755.7,39800,0.19,7562,61957000
2001,ON,potato,690.4,42800,0.19,7918,89842000
2002,ON,potato,661.9,41700,0.17,6964,91778000
2003,ON,potato,895.6,43900,0.21,9000,88194000
2004,ON,potato,755,39000,0.2,7878,65838000
2005,ON,potato,766.7,35500,0.17,6177,74003000
2006,ON,potato,865.7,36000,0.21,7524,86221000
2007,ON,potato,592.7,36000,0.14,5148,66573000
2008,ON,potato,1049.6,35200,0.22,7744,117112000
2009,ON,potato,904,36400,0.22,7826,99719000
2010,ON,potato,787.2,38000,0.22,8170,109604000
2011,ON,potato,936.8,36500,0.18,6388,91704000
2012,ON,potato,731.6,39500,0.19,7505,101978000
2013,ON,potato,944.9,37500,0.23,8438,91468000
2014,ON,potato,733.8,35000,0.24,8225,90475000
2015,ON,potato,675.3,34650,0.23,7970,91655000
2016,ON,potato,630.6,34750,0.19,6603,69992000
2017,ON,potato,846,34800,0.23,7830,80649000
2018,ON,potato,885,33750,0.21,6919,69190000
2019,ON,potato,950.4,33527,0.2,6705,65039000
2020,ON,potato,760.8,35800,0.21,7518,61648000
2021,ON,potato,823.2,37302,0.24,8953,73415000
2022,ON,potato,672.8,37100,0.22,8160,93024000
1995,PE,potato,937.2,108000,0.27,28620,168787000
1996,PE,potato,1209.1,109000,0.26,28340,138956000
1997,PE,potato,847.6,112000,0.27,29680,187290000
1998,PE,potato,1140,110000,0.27,29150,218355000
1999,PE,potato,901.3,110000,0.26,28600,195617000
2000,PE,potato,849.5,108000,0.27,29160,139947000
2001,PE,potato,786.9,107000,0.17,18404,192511000
2002,PE,potato,1297.4,107500,0.28,30100,229825000
2003,PE,potato,1024.2,105500,0.27,27958,162248000
2004,PE,potato,986.8,105500,0.28,29013,165411000
2005,PE,potato,1093.9,96000,0.28,26400,234915000
2006,PE,potato,1119.3,95800,0.31,29698,201812000
2007,PE,potato,1101.8,96000,0.29,27360,221978000
2008,PE,potato,1494,89000,0.28,24920,249212000
2009,PE,potato,1427.6,82000,0.3,24600,227673000
2010,PE,potato,1354,86000,0.3,25800,277361000
2011,PE,potato,1370.1,86000,0.29,24510,284983000
2012,PE,potato,1032.3,83700,0.29,24284,257470000
2013,PE,potato,1013.2,82900,0.3,25009,222080000
2014,PE,potato,1427.7,84700,0.3,25240,227160000
2015,PE,potato,1387.3,85300,0.29,24850,198800000
2016,PE,potato,1073.4,86700,0.3,25723,202697000
2017,PE,potato,1060.3,83200,0.29,24463,244630000
2018,PE,potato,1202.3,79200,0.29,22600,192100000
2019,PE,potato,1198.1,84000,0.29,24302,216288000
2020,PE,potato,728.3,83500,0.25,21000,140700000
2021,PE,potato,1261.8,84500,0.32,27209,190463000
2022,PE,potato,1262.9,81900,0.32,26600,250040000
1995,QC,potato,1264.6,45200,0.21,9458,73852000
1996,QC,potato,1313.1,45200,0.23,10251,68846000
1997,QC,potato,1095.9,46200,0.22,10030,73918000
1998,QC,potato,1136.5,45200,0.23,10472,83750000
1999,QC,potato,1147.5,43500,0.23,10141,86075000
2000,QC,potato,1044.9,44700,0.23,10460,86317000
2001,QC,potato,807.2,46000,0.23,10569,120938000
2002,QC,potato,909.8,47900,0.21,10072,104361000
2003,QC,potato,1252.4,48900,0.24,11625,86849000
2004,QC,potato,1153.1,46200,0.27,12266,88349000
2005,QC,potato,1295.9,47400,0.23,10774,120592000
2006,QC,potato,1280,45000,0.26,11662,103468000
2007,QC,potato,1294,44700,0.29,12748,106697000
2008,QC,potato,1461.4,41800,0.26,10952,152737000
2009,QC,potato,1131,41800,0.26,10998,116681000
2010,QC,potato,1015.7,42700,0.27,11486,155622000
2011,QC,potato,1320.2,41300,0.27,11250,148154000
2012,QC,potato,1115.7,41514,0.26,11001,130636000
2013,QC,potato,1234.3,42255,0.27,11477,114770000
2014,QC,potato,1267.1,41019,0.28,11349,124839000
2015,QC,potato,1253.2,41019,0.3,12359,160667000
2016,QC,potato,1324.3,41514,0.29,12233,171262000
2017,QC,potato,1231.8,41761,0.3,12505,150060000
2018,QC,potato,1227.4,40167,0.28,11221,100989000
2019,QC,potato,1278.3,43167,0.29,12648,151776000
2020,QC,potato,1338.7,44588,0.29,12731,
2021,QC,potato,942.6,45776,0.31,14100,
2022,QC,potato,1305.4,48326,0.31,14916,210916000
1995,SK,potato,375.5,6100,0.23,1403,19091000
1996,SK,potato,446.4,6500,0.23,1495,18618000
1997,SK,potato,312.9,8500,0.25,2083,28353000
1998,SK,potato,280,13200,0.27,3498,38242000
1999,SK,potato,401.4,7900,0.25,1975,29431000
2000,SK,potato,344.6,10200,0.27,2703,38460000
2001,SK,potato,159.7,12300,0.25,3014,52195000
2002,SK,potato,299.3,12500,0.29,3563,58899000
2003,SK,potato,233.8,13000,0.32,4095,60255000
2004,SK,potato,402.6,12000,0.28,3360,34725000
2005,SK,potato,523,10900,0.27,2889,36787000
2006,SK,potato,488.8,10300,0.27,2781,34476000
2007,SK,potato,366,9500,0.25,2328,35736000
2008,SK,potato,327.1,9500,0.28,2613,48919000
2009,SK,potato,298.5,8000,0.29,2320,44551000
2010,SK,potato,642.5,7000,0.26,1785,37531000
2011,SK,potato,285.4,7000,0.28,1960,41334000
2012,SK,potato,510.2,6500,0.25,1625,30596000
2013,SK,potato,279.6,6500,0.28,1788,28608000
2014,SK,potato,364.9,6550,0.25,1605,27285000
2015,SK,potato,292.4,6700,0.25,1675,30150000
2016,SK,potato,345.1,6800,0.25,1700,34000000
2017,SK,potato,234.3,6500,0.25,1625,35750000
2018,SK,potato,207.7,5900,0.25,1454,27626000
2019,SK,potato,266.4,6000,0.25,1500,24000000
2020,SK,potato,297.4,6000,0.23,1400,
2021,SK,potato,180.7,6200,0.25,1519,28861000
2022,SK,potato,208.7,5800,0.25,1450,31900000
1995,AB,barley,350.1,4700000,1.35,6335800,128977524
1996,AB,barley,482.1,5300000,1.34,7076000,131548615
1997,AB,barley,491.3,5050000,1.24,6270500,129396821
1998,AB,barley,489.1,4600000,1.23,5660800,104712698
1999,AB,barley,423.8,4200000,1.43,5987400,126337591
2000,AB,barley,396.5,4300000,1.23,5268900,102850809
2001,AB,barley,352.1,4000000,1.19,4746400,100151775
2002,AB,barley,235.2,2785000,0.91,2547400,56829894
2003,AB,barley,473.4,4420000,1.23,5421300,131022309
2004,AB,barley,525.5,3950000,1.42,5628200,133807290
2005,AB,barley,287.2,3600000,1.45,5231900,135636448
2006,AB,barley,442.5,3400000,1.3,4404600,101128109
2007,AB,barley,272,4270000,1.2,5114300,126455085
2008,AB,barley,292.7,3750000,1.45,5447500,137572921
2009,AB,barley,243.5,3030000,1.27,3840700,99024228
2010,AB,barley,383,3125000,1.45,4528700,119156420
2011,AB,barley,391.4,3200000,1.46,4668000,125288808
2012,AB,barley,369.5,3420000,1.31,4463300,122153692
2013,AB,barley,483.5,3370000,1.65,5545400,154700062
2014,AB,barley,360,2860000,1.44,4131300,117434449
2015,AB,barley,289.3,2885000,1.49,4289200,124189843
2016,AB,barley,489.5,2660000,1.65,4398000,129664552
2017,AB,barley,376.3,2500000,1.56,3906000,117223569
2018,AB,barley,368.6,2746900,1.45,3996300,122045769
2019,AB,barley,463,3144800,1.58,4955200,157058192
2020,AB,barley,498.7,3277200,1.61,5283000,173554849
2021,AB,barley,270.6,3458100,1.03,3570679,121429904
2022,AB,barley,397,3257900,1.65,5380670,189202923
1995,BC,barley,1272.8,65000,1.44,93600,1905410
1996,BC,barley,1462.8,60000,1.33,79500,1477970
1997,BC,barley,1521.8,70000,1.21,84900,1751980
1998,BC,barley,1160.5,94000,1.1,103400,1912679
1999,BC,barley,1394.4,78000,1.14,89300,1884281
2000,BC,barley,1010.8,73000,1.22,88800,1733408
2001,BC,barley,1178.5,80000,1.26,100700,2124828
2002,BC,barley,857.6,120000,1.05,126300,2817624
2003,BC,barley,1106.1,100000,1.39,139300,3366611
2004,BC,barley,1210.6,65000,1.39,90400,2149209
2005,BC,barley,1215.2,60000,1.2,72100,1869185
2006,BC,barley,1224.2,35000,0.9,31400,720933
2007,BC,barley,1322.4,65000,1.16,75100,1856906
2008,BC,barley,1025.8,60000,0.85,50900,1285445
2009,BC,barley,1090.6,40000,1.14,45700,1178277
2010,BC,barley,1207,39000,0.77,30200,794604
2011,BC,barley,1068.5,55000,1.17,64200,1723124
2012,BC,barley,1211.3,43000,1.3,55800,1527161
2013,BC,barley,944,60000,1.43,85800,2393563
2014,BC,barley,1276.3,41000,1.04,42700,1213771
2015,BC,barley,1142.5,50000,1.35,67500,1954400
2016,BC,barley,1356.8,41000,1.43,58800,1733578
2017,BC,barley,1239.3,29000,1.3,37600,1128419
2018,BC,barley,1343.4,42800,1.41,60400,1844597
2019,BC,barley,965.7,46200,1.36,63000,1996825
2020,BC,barley,1140.4,59300,1.04,61800,2030227
2021,BC,barley,1160.3,71000,0.89,63289,2152301
2022,BC,barley,1046.3,59400,1.3,76964,2706320
1995,MB,barley,444.7,1150000,1.15,1328100,27036057
1996,MB,barley,685.5,1550000,1.36,2111900,39261945
1997,MB,barley,500.1,1350000,1.25,1685200,34775460
1998,MB,barley,479.9,1240000,1.32,1630800,30166313
1999,MB,barley,497.7,1000000,1.21,1214900,25635090
2000,MB,barley,673.1,1190000,1.36,1622000,31662019
2001,MB,barley,528.9,1100000,1.12,1234500,26048661
2002,MB,barley,406.6,1000000,1.18,1175700,26228667
2003,MB,barley,391,960000,1.37,1317200,31834170
2004,MB,barley,683.9,865000,1.48,1278000,30383731
2005,MB,barley,584,620000,0.97,603100,15635303
2006,MB,barley,266.9,750000,1.38,1035300,23770134
2007,MB,barley,452.6,940000,1.27,1195300,29554731
2008,MB,barley,535.9,750000,1.5,1121300,28317672
2009,MB,barley,456.2,615000,1.56,958000,24699979
2010,MB,barley,749.8,405000,1.2,487700,12832068
2011,MB,barley,541,270000,0.97,261300,7013275
2012,MB,barley,411.4,520000,1.19,618300,16921925
2013,MB,barley,376.7,460000,1.64,756600,21106875
2014,MB,barley,451.6,280000,1.27,354900,10088225
2015,MB,barley,475.1,400000,1.5,598700,17334808
2016,MB,barley,551.8,375000,1.57,587900,17332831
2017,MB,barley,327.5,250000,1.75,437600,13132881
2018,MB,barley,354.6,305500,1.64,500900,15297331
2019,MB,barley,457.1,315900,1.67,528900,16763819
2020,MB,barley,272.7,394500,1.74,686400,22549318
2021,MB,barley,384.2,362000,1.19,431591,14677336
2022,MB,barley,766.4,406600,1.62,657317,23113534
1995,NB,barley,1117.2,39000,1.08,42100,857027
1996,NB,barley,1035.8,40900,1.37,56100,1042945
1997,NB,barley,844.8,39000,1.35,52600,1085443
1998,NB,barley,1036.9,36000,1.13,40800,754713
1999,NB,barley,1103,33500,1.36,45600,962186
2000,NB,barley,1122,40000,1.42,56600,1104852
2001,NB,barley,690.3,42000,1.31,54900,1158422
2002,NB,barley,1165.1,40500,1.5,60900,1358617
2003,NB,barley,1051.2,42000,1.33,55800,1348578
2004,NB,barley,752,39000,1.26,49200,1169702
2005,NB,barley,1190.1,36500,1.31,47700,1236617
2006,NB,barley,1029.8,30000,0.91,27400,629095
2007,NB,barley,907.4,32500,1.39,45300,1120078
2008,NB,barley,1159.9,28000,1.15,32300,815715
2009,NB,barley,1167.8,24000,1.24,29800,768329
2010,NB,barley,1154.5,26000,1.26,32800,863014
2011,NB,barley,1072.7,22000,0.85,18700,501907
2012,NB,barley,979.1,21500,1.24,26700,730738
2013,NB,barley,1068.7,21000,1.17,24600,686266
2014,NB,barley,1244.7,17000,1.18,20100,571353
2015,NB,barley,920.8,18000,1.45,26100,755702
2016,NB,barley,876.4,16000,1.41,22600,666307
2017,NB,barley,876.3,13500,1.51,20400,612228
2018,NB,barley,1149.8,11100,1.15,12800,390908
2019,NB,barley,1120.1,13400,1.48,19800,627573
2020,NB,barley,798.2,18600,0.95,17600,578188
2021,NB,barley,907.6,19200,1.35,25936,882019
2022,NB,barley,1188.5,13900,1.43,19884,699190
1995,NL,barley,,,,,
1996,NL,barley,,,,,
1997,NL,barley,,,,,
1998,NL,barley,,,,,
1999,NL,barley,,,,,
2000,NL,barley,,,,,
2001,NL,barley,,,,,
2002,NL,barley,,,,,
2003,NL,barley,,,,,
2004,NL,barley,,,,,
2005,NL,barley,,,,,
2006,NL,barley,,,,,
2007,NL,barley,,,,,
2008,NL,barley,,,,,
2009,NL,barley,,,,,
2010,NL,barley,,,,,
2011,NL,barley,,,,,
2012,NL,barley,,,,,
2013,NL,barley,,,,,
2014,NL,barley,,,,,
2015,NL,barley,,,,,
2016,NL,barley,,,,,
2017,NL,barley,,,,,
2018,NL,barley,,,,,
2019,NL,barley,,,,,
2020,NL,barley,,,,,
2021,NL,barley,,,,,
2022,NL,barley,,,,,
1995,NS,barley,1479.1,10300,1.62,16700,339961
1996,NS,barley,1718.6,12400,1.39,17200,319762
1997,NS,barley,1120.8,14800,1.13,16700,344618
1998,NS,barley,1465,16800,1.2,20100,371807
1999,NS,barley,1342.2,12400,1.05,13000,274307
2000,NS,barley,1290.5,10600,1.22,12900,251813
2001,NS,barley,965.1,11000,1.06,11700,246877
2002,NS,barley,1614.9,10000,1.55,15500,345789
2003,NS,barley,1356.4,10000,1.15,11500,277933
2004,NS,barley,1285.5,7500,1.13,8500,202083
2005,NS,barley,1365.2,8000,1.05,8400,217769
2006,NS,barley,1245,6000,0.9,5400,123982
2007,NS,barley,1322.1,6500,1.06,6900,170608
2008,NS,barley,1448.6,8500,1.2,10200,257594
2009,NS,barley,1514.5,5000,1.22,6100,157275
2010,NS,barley,1213.9,5500,1.29,7100,186811
2011,NS,barley,1688.9,4000,1.2,4800,128832
2012,NS,barley,1390.3,5000,1.38,6900,188842
2013,NS,barley,1501.5,4700,1.06,5000,139485
2014,NS,barley,1591.9,3000,1.3,3900,110860
2015,NS,barley,1540.8,3000,1.37,4100,118712
2016,NS,barley,1219.5,3300,1.42,4700,138568
2017,NS,barley,1156,3500,1.49,5200,156058
2018,NS,barley,1370.6,2000,1.2,2400,73295
2019,NS,barley,1459.6,3000,1.13,3400,107765
2020,NS,barley,1147.8,2200,1.14,2500,82129
2021,NS,barley,1288,2900,1.37,3975,135180
2022,NS,barley,1444.4,1700,1.26,2148,79067
1995,ON,barley,928.1,320000,1.31,418000,8509202
1996,ON,barley,699.8,320000,1.22,391900,7285741
1997,ON,barley,628.6,335000,1.32,442000,9121026
1998,ON,barley,682.1,310000,1.23,381000,7047685
1999,ON,barley,661.8,285000,1.38,394100,8315737
2000,ON,barley,755.7,275000,1.25,344000,6715003
2001,ON,barley,690.4,295000,1.44,424600,8959305
2002,ON,barley,661.9,320000,1.24,396300,8841049
2003,ON,barley,895.6,255000,1.38,352700,8524075
2004,ON,barley,755,245000,1.39,339600,8073799
2005,ON,barley,766.7,250000,1.17,291800,7564884
2006,ON,barley,865.7,210000,1.38,290700,6674373
2007,ON,barley,592.7,165000,1.32,217700,5382803
2008,ON,barley,1049.6,145000,1.32,191600,4838728
2009,ON,barley,904,172000,1.37,236200,6089911
2010,ON,barley,787.2,187000,1.43,267800,7046192
2011,ON,barley,936.8,120000,1.34,161100,4323913
2012,ON,barley,731.6,118000,1.4,165500,4529482
2013,ON,barley,944.9,110000,1.22,134600,3754937
2014,ON,barley,733.8,102000,1.48,151300,4300785
2015,ON,barley,675.3,110000,1.44,158900,4600803
2016,ON,barley,630.6,95000,1.37,130600,3850430
2017,ON,barley,846,75000,1.33,99900,2998114
2018,ON,barley,885,82500,1.28,105200,3212776
2019,ON,barley,950.4,97900,1.37,134200,4253554
2020,ON,barley,760.8,84100,1.34,113100,4079085
2021,ON,barley,823.2,46800,1.44,67485,2515475
2022,ON,barley,672.8,63600,1.64,104588,3993554
1995,PE,barley,937.2,80000,1.17,93700,1907446
1996,PE,barley,1209.1,90600,1.31,118400,2201153
1997,PE,barley,847.6,101000,1.35,136300,2812660
1998,PE,barley,1140,96000,1.42,135900,2513859
1999,PE,barley,901.3,85000,1.11,94400,1991894
2000,PE,barley,849.5,91000,1.42,128800,2514222
2001,PE,barley,786.9,95000,1.02,97200,2050976
2002,PE,barley,1297.4,87000,1.44,125000,2788622
2003,PE,barley,1024.2,90000,1.13,101900,2462725
2004,PE,barley,986.8,90000,1.26,113700,2703154
2005,PE,barley,1093.9,84500,1.35,114100,2958030
2006,PE,barley,1119.3,78500,1.02,80300,1843661
2007,PE,barley,1101.8,81000,1.15,93500,2311861
2008,PE,barley,1494,75000,1.07,80000,2020346
2009,PE,barley,1427.6,50000,1.11,55500,1430949
2010,PE,barley,1354,53500,1.22,65200,1715503
2011,PE,barley,1370.1,62500,1.26,78900,2117671
2012,PE,barley,1032.3,67000,1.35,90400,2474110
2013,PE,barley,1013.2,70000,1.38,96900,2703220
2014,PE,barley,1427.7,60000,1.27,76200,2166026
2015,PE,barley,1387.3,58000,1.4,81000,2345281
2016,PE,barley,1073.4,61000,1.43,87100,2567936
2017,PE,barley,1060.3,54000,1.45,78400,2352875
2018,PE,barley,1202.3,74000,1.43,105500,3221937
2019,PE,barley,1198.1,48900,1.48,72300,2291594
2020,PE,barley,728.3,47600,1.37,65200,2141922
2021,PE,barley,1261.8,61000,1.46,89074,3029185
